Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,include title,include abstract,exclude,accept contents,code,theme,rq answers
Time Warping Clustering for the Forecast and Analysis of COVID-19,Q. Jin,"Computing and Mathematical Sciences California Institute of Technology,Pasadena,US",2020 IEEE MIT Undergraduate Research Technology Conference (URTC),17-Jan-22,2020,,,1,5,"This paper presents an effective algorithm for the clustering of confirmed COVID-19 cases at the county-level in the United States. Dynamic time warping and Euclidean distance are examined as the k-means clustering distance metrics. Dynamic time warping can compare time series varying in speed, as counties often experience similar outbreak trends without the timelines matching up exactly. The effect of data preprocessing on clustering was systematically studied. Further analyses demonstrate the immediate value of our clusters for both retrospective interpretation of the pandemic and as informative inputs for case prediction models. We visualize the time progression of COVID-19 from April 5, 2020 to August 23, 2020. We proposed a Monte-Carlo dropout feedforward neural network with the ability to forecast four weeks into the future. Predictions evaluated from July 24, 2020 to August 20, 2020 demonstrate the better empirical performance of the model when trained on the clusters, in comparison with the model trained on individual counties and the model trained on counties clustered by state.",,978-1-7281-7571-3,10.1109/URTC51696.2020.9668904,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9668904,COVID-19;dynamic time warping;clustering,COVID-19;Measurement;Monte Carlo methods;Pandemics;Heuristic algorithms;Time series analysis;Euclidean distance,,,,,,10,,17-Jan-22,,,IEEE,IEEE Conferences,no,no,,,,,
"Toward High-Throughput, Multicriteria Protein-Structure Comparison and Analysis",A. A. Shah; G. Folino; N. Krasnogor,"School of Computer Science, University of Nottingham, Nottingham, U.K.; Institute of High Performance Computing and Networking of the Italian National Research Council, Cosenza, Italy; School of Computer Science, University of Nottingham, Nottingham, U.K.",IEEE Transactions on NanoBioscience,03-Jun-10,2010,9,2,144,155,"Protein-structure comparison (PSC) is an essential component of biomedical research as it impacts on, e.g., drug design, molecular docking, protein folding and structure prediction algorithms as well as being essential to the assessment of these predictions. Each of these applications, as well as many others where molecular comparison plays an important role, requires a different notion of similarity that naturally lead to the multicriteria PSC (MC-PSC) problem. Protein (Structure) Comparison, Knowledge, Similarity, and Information (ProCKSI) (www.procksi.org) provides algorithmic solutions for the MC-PSC problem by means of an enhanced structural comparison that relies on the principled application of information fusion to similarity assessments derived from multiple comparison methods. Current MC-PSC works well for moderately sized datasets and it is time consuming as it provides public service to multiple users. Many of the structural bioinformatics applications mentioned above would benefit from the ability to perform, for a dedicated user, thousands or tens of thousands of comparisons through multiple methods in real time, a capacity beyond our current technology. In this paper, we take a key step into that direction by means of a high-throughput distributed reimplementation of ProCKSI for very large datasets. The core of the proposed framework lies in the design of an innovative distributed algorithm that runs on each compute node in a cluster/grid environment to perform structure comparison of a given subset of input structures using some of the most popular PSC methods [e.g., universal similarity metric (USM), maximum contact map overlap (MaxCMO), fast alignment and search tool (FAST), distance alignment (DaliLite), combinatorial extension (CE), template modeling alignment (TMAlign)]. We follow this with a procedure of distributed consensus building. Thus, the new algorithms proposed here achieve ProCKSI's similarity assessment quality but with a fraction of the time required by it. Our results show that the proposed distributed method can be used efficiently to compare: 1) a particular protein against a very large protein structures dataset (target-against-all comparison), and 2) a particular very large-scale dataset against itself or against another very large-scale dataset (all-against-all comparison). We conclude the paper by enumerating some of the outstanding challenges for real-time MC-PSC.",1558-2639,,10.1109/TNB.2010.2043851,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5477191,Alignment;comparison;grid;message passing interface (MPI);multicriteria;protein structure;real time;very large-scale datasets,Proteins;Algorithm design and analysis;Large-scale systems;Drugs;Prediction algorithms;Bioinformatics;Distributed algorithms;Distributed computing;Grid computing;Buildings,biochemistry;bioinformatics;message passing;molecular biophysics;proteins;real-time systems,multicriteria protein-structure;protein-structure comparison;molecular docking;protein folding;algorithmic solutions;structural bioinformatics;MC-PSC problem;maximum contact map overlap;template modeling alignment;combinatorial extension,"Algorithms;Cluster Analysis;Databases, Protein;High-Throughput Screening Assays;Protein Conformation;Proteins;Proteomics;Sequence Alignment;Sequence Analysis, Protein;Software",7,,61,IEEE,03-Jun-10,,,IEEE,IEEE Journals,no,no,,,,,
Clustering Product Development Project Organization From the Perspective of Social Network Analysis,Q. Yang; N. Yang; T. R. Browning; B. Jiang; T. Yao,"School of Economics and Management, University of Science and Technology Beijing, Beijing 100083, China (e-mail: yangqing@manage.ustb.edu.cn).; School of Economics and Management, University of Science and Technology Beijing, Beijing 100083, China (e-mail: yangna_ustb@163.com).; Neeley School of Business, Texas Christian University, Fort Worth, TX 76129 USA (e-mail: t.browning@tcu.edu).; Driehaus College of Business, DePaul University, Chicago, IL 60604 USA (e-mail: bjiang@depaul.edu).; The Harold & Inge Marcus Department of Industrial & Manufacturing Engineering, Pennsylvania State University, University Park, PA 16802 USA (e-mail: taoyao2005@gmail.com).",IEEE Transactions on Engineering Management,,2019,PP,99,1,15,"In product development (PD) organizations, coordinating technical dependencies among teams with different expertise in overlapping processes is a fundamental challenge. This article takes a more sophisticated approach than prior methodologies to improve coordination via organizational clustering, by accounting for both team structural and attribute similarity from the perspective of social network analysis. We built models to quantify the impact of the overlapping processes on the interaction strength among PD teams, which we then used to construct structural similarity by combining tie strength and social cohesion among teams via the design structure matrix. To evaluate the organization network, we propose social embeddedness-related centrality indices within (intracluster) and across (intercluster) team groupings. To facilitate knowledge sharing, we base team attribute similarity on product- and process-related expertise among teams. We integrate the modularity index and an improved silhouette index to find an optimal number of clusters, which we then incorporate with team similarity measures as inputs to a spectral clustering algorithm. An industrial example illustrates the proposed model. The clustering results reinforce several managerial practices but also yield new insights, such as how to measure similarity among teams based on organizational network characteristics and how structural and attribute similarities impact the optimal organizational structure.",1558-0040,,10.1109/TEM.2019.2939398,National Natural Science Foundation of China(grant numbers:71872011 71929101); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8874959,Clustering algorithm;design structure matrix (DSM);organization design;product development (PD);project management;social network analysis (SNA),Organizations;Clustering algorithms;Social networking (online);Product development;Indexes;Complexity theory;Analytical models,,,,1,,,CCBY,17-Oct-19,,,IEEE,IEEE Early Access Articles,yes,yes,no,yes,modified/anomalous metric,Modified/derived/anomalous metrics for better performance,""" We proposed social embeddedness-based
centrality indices and ADs of intra and intercluster. To facilitate knowledge sharing, we build team attribute similarity based on
product- and process-related expertise. This article was the first
research to redesign an actual PD organizational architecture by
incorporating structural and team attribute similarities from the
perspective of SNA. We also integrated the modularity index (Q)
and an improved S index to find the optimal number of clusters,
which we then use with the integrated similarity matrix as inputs
to a spectral clustering algorithm to identify clusters."" pg.13."
A Novel Framework of Fuzzy Rule Interpolation for Takagi-Sugeno-Kang Inference Systems,P. Zhang; Q. Shen,"Department of Computer Science, Aberystwyth University, Aberystwyth, SY23 3DB, UK; Department of Computer Science, Aberystwyth University, Aberystwyth, SY23 3DB, UK",2019 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),11-Oct-19,2019,,,1,6,"Fuzzy rule interpolation (FRI) technique has been proposed to infer conclusions for unmatched instances when a fuzzy rule-based system is presented with a sparse rule base. Most existing FRI methodologies are not developed for Takagi-Sugeno-Kang (TSK) inference models. TSK inference extension (TSK+) is one of the methodologies proposed for TSK models with sparse rule bases. It works by replacing matching degrees with similarity measures across all the given rules, instead of just the matched ones, to generate the final conclusion. However, those rules with low similarities bring bias to the final result, which is mainly determined by the closest rules. To significantly strengthen the efficacy of this, a novel framework is presented here through the use of just a small number of closest rules to derive the final outcome. Compared with TSK+, the proposed method reduces the computational overheads of the inference process while avoiding the adverse impact caused by the rules of low similarities with the new observation. More importantly, to deal with large sized sparse rule bases, where neighbourhood rules may be similar with each other, a rule-clustering approach is proposed. That is, a clustering algorithm (say, fuzzy c-means) is first employed to cluster rules into different groups and then, the final interpolated conclusion is computed by the use of the closest rules selected from a small number of closest rule clusters. This approach helps further decrease the time complexity. The efficacy of these two modified methods is demonstrated via systematic experimental comparisons against the performance of the original TSK+.",1558-4739,978-1-5386-1728-1,10.1109/FUZZ-IEEE.2019.8858833,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8858833,Fuzzy inference system;TSK;Fuzzy rule interpolation;Rule clustering;K closest rules;Closest rule clusters,Interpolation;Time complexity;Fuzzy sets;Atmospheric measurements;Particle measurements;Fuzzy logic;Euclidean distance,fuzzy reasoning;fuzzy set theory;fuzzy systems;inference mechanisms;interpolation;knowledge based systems;pattern clustering,TSK+;inference process;low similarities;sized sparse rule bases;neighbourhood rules;rule-clustering approach;cluster rules;final interpolated conclusion;closest rules;closest rule clusters;original TSK;Takagi-Sugeno-Kang inference systems;fuzzy rule interpolation technique;infer conclusions;fuzzy rule-based system;sparse rule base;Takagi-Sugeno-Kang inference models;TSK inference extension;TSK models;final conclusion;FRI methodologies,,2,,21,,11-Oct-19,,,IEEE,IEEE Conferences,no,no,,,,,
Similarity clustering of dimensions for an enhanced visualization of multidimensional data,M. Ankerst; S. Berchtold; D. A. Keim,"Munich Univ., Germany; NA; NA",Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258),06-Aug-02,1998,,,52,60,"The order and arrangement of dimensions (variates) is crucial for the effectiveness of a large number of visualization techniques such as parallel coordinates, scatterplots, recursive pattern, and many others. We describe a systematic approach to arrange the dimensions according to their similarity. The basic idea is to rearrange the data dimensions such that dimensions showing a similar behavior are positioned next to each other. For the similarity clustering of dimensions, we need to define similarity measures which determine the partial or global similarity of dimensions. We then consider the problem of finding an optimal one- or two-dimensional arrangement of the dimensions based on their similarity. Theoretical considerations show that both, the one- and the two-dimensional arrangement problem are surprisingly hard problems, i.e. they are NP complete. Our solution of the problem is therefore based on heuristic algorithms. An empirical evaluation using a number of different visualization techniques shows the high impact of our similarity clustering of dimensions on the visualization results.",,0-8186-9093-3,10.1109/INFVIS.1998.729559,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=729559,,Data visualization;Multidimensional systems;Laboratories;Shape;Humans;Euclidean distance,data visualisation;data mining;computational complexity,similarity clustering;enhanced visualization;multidimensional data;visualization techniques;parallel coordinates;scatterplots;recursive pattern;systematic approach;data dimensions;similar behavior;similarity measures;global similarity;two dimensional arrangement;hard problems;NP complete;heuristic algorithms,,124,2,30,,06-Aug-02,,,IEEE,IEEE Conferences,yes,yes,no,yes,other factors; comparison,Other factors influencing performance along with distance/similarity metrics,"""We introduce a number of different similarity measures which can be used to determine
the (global or partial) similarity of dimensions. The similarity of
dimensions is an important prerequisite for finding the optimal oneor two-dimensional arrangement. All variants of the dimension
arrangement problem, however, are shown to be computationally
complex problem, i.e. they are NP-complete. In our implementation
to solve the dimension arrangement problem we therefore have to
use a heuristic solution which is based on an intelligent ant system.
The experimental comparison of the sequential and similarity
arrangement clearly shows the advantage of our new approach."" pg.8"
Enhanced Visual Clustering by Reordering of Dimensions in Parallel Coordinates,K. Ameur; N. Benblidia; S. Oukid-Khouas,"Res. Lab. of Comput. Syst. Dev., Saad Dahlab Univ., Blida, Algeria; Res. Lab. of Comput. Syst. Dev., Saad Dahlab Univ., Blida, Algeria; Res. Lab. of Comput. Syst. Dev., Saad Dahlab Univ., Blida, Algeria",2013 International Conference on IT Convergence and Security (ICITCS),23-Jan-14,2013,,,1,4,"The high dimensional dataset presents a serious challenge of visualization techniques such as Parallel Coordinates. The order and arrangement of dimensions in Parallel Coordinates has a major impact on the user analysis task. Therefore we need to find an expressive and effective order that helps the user to explore and analyze visualdisplay of data mining results. This problem is the key motivation of our work. In this paper, we extended the concept of relative entropy measure like distance measure between dimensions. After the application of the proposed measure on datasets, the obtained results demonstrate that this measure is able to reorder dimensions, while the set of clusters are reorganized to help the user to detect where the clusters' behavior are similar and different. Moreover, it shows clearly the user the most important dimensions that can be used to analyze data mining results using Parallel Coordinates",,978-1-4799-2845-3,10.1109/ICITCS.2013.6717831,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6717831,,Data visualization;Visualization;Data mining;Entropy;Coordinate measuring machines;NP-hard problem;Clutter,data mining;data visualisation;pattern clustering,enhanced visual clustering;parallel coordinates;visualization techniques;user analysis task;visual display;data mining;relative entropy measure;distance measure;cluster behavior,,,,7,,23-Jan-14,,,IEEE,IEEE Conferences,no,no,,,,,
Unsupervised auditory scene categorization via key audio effects and information-theoretic co-clustering,Rui Cai; Lie Lu; Lian-Hong Cai,"Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China; NA; NA","Proceedings. (ICASSP '05). IEEE International Conference on Acoustics, Speech, and Signal Processing, 2005.",02-May-05,2005,2,,ii/1073,ii/1076 Vol. 2,"Automatic categorization of auditory scenes is very useful in various content-based multimedia applications, such as video indexing and context-aware computing. An unsupervised approach is proposed to group auditory scenes with similar semantics. In our approach, auditory scenes are described by the key audio effects they contain. In order to exploit the relationships between different audio effects and provide a more accurate similarity measure for auditory scene categorization, co-clustering is used to group auditory scenes and key audio effects simultaneously. In addition, a Bayesian information criterion (BIC) is used to select cluster numbers automatically for both the key effects and the auditory scenes. Evaluation on 272 auditory scenes extracted from 12-hour audio data shows very encouraging results.",2379-190X,0-7803-8874-7,10.1109/ICASSP.2005.1415594,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1415594,,Layout;Explosions;Multimedia computing;Indexing;Context-aware services;Computer science;Asia;Application software;Bayesian methods;Data mining,multimedia systems;audio signal processing;information theory;pattern clustering;pattern classification;signal classification;Bayes methods,unsupervised auditory scene categorization;key audio effects;information-theoretic co-clustering;content-based multimedia applications;video indexing;context-aware computing;audio effects;similarity measure;auditory scene categorization;Bayesian information criterion,,1,,10,,02-May-05,,,IEEE,IEEE Conferences,yes,yes,no,no,,,
Kullback-Leibler threshold computing method based on clustering motion patterns,L. Pan; Z. Jing; W. J. Ping,"Shanghai University of Engineering Science, Shanghai 200240, China; Shanghai University of Engineering Science, Shanghai 200240, China; Shanghai University of Engineering Science, Shanghai 200240, China",4th International Conference on Smart and Sustainable City (ICSSC 2017),15-Feb-18,2017,,,1,4,"In order to cluster the moving targets of the video in dense crowded scene, according to the video regulation reticulation, it can acquire the spatio-temporal motion patterns of every grid by spatio-temporal gradient. Using the symmetric K-L(Kullback-Leibler) divergence as a distance measure, the clustering of the spatio-temporal motion patterns could be finished. The accuracy of the clustering plays an important role in the target detection, and the K-L threshold is the key for the accuracy of the clustering. Different K-L threshold will lead to different clustering effect. This paper proposes a method based on the dichotomy combining power of the motion pattern to determine the K-L threshold accurately and quickly.",,978-1-78561-503-0,10.1049/cp.2017.0108,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274894,Pattern clustering;K-L threshold;model training,,gradient methods;image motion analysis;image sequences;object detection;pattern clustering;spatiotemporal phenomena;video signal processing,video regulation reticulation;spatio-temporal motion patterns;spatio-temporal gradient;motion pattern;Kullback-Leibler threshold;clustering motion patterns;dense crowded scene;clustering effect;moving targets;symmetric K-L divergence;symmetric Kullback-Leibler divergence;K-L threshold,,,,15,,15-Feb-18,,,IET,IET Conferences,yes,yes,no,yes,modified/anomalous metric,Modified/derived/anomalous metrics for better performance,"""In order to cluster the moving targets of the video in dense result of the classifican crowded scene, according to the video regulation reticulation, important role in the it can acquire the spatio-temporal motion patterns of every importance, this paper grid by spatio-temporal gradient. Using the symmetric finish the clustering off K-L(Kullback-Leibler) divergence as a distance measure, the clustering of the spatio-temporal motion patterns could be finished. The accuracy of the clustering plays an important role in the target detection, and the K-L threshold is the key for the accuracy of the clustering. Different K-L threshold will lead to different clustering effect."" pg.1."
A Novel Biclustering Algorithm for Discovering Value-Coherent Overlapping σ-Biclusters,C. Das; P. Maji; S. Chattopadhyay,"Department of Computer Science and Engineering, Netaji Subhash Engineering College, Kolkata, 700 152, India, chandradas@hotmail.com; Machine Intelligence Unit, Indian Statistical Institute, Kolkata, 700 108, India, pmaji@isical.ac.in; Department of Information Technology, Jadavpur University, Kolkata, 700 092, India, samiranc@it.jusl.ac.in",2008 16th International Conference on Advanced Computing and Communications,23-Jan-09,2008,,,148,156,"The biclustering method is a very useful tool for analyzing gene expression data when some genes have multiple functions and experimental conditions are diverse in gene expression measurement. It focuses on finding a subset of genes and a subset of experimental conditions that together exhibit coherent behavior. A large number of biclustering algorithms has been developed for analyzing gene expression data. Most of them find exclusive biclusters, which is inappropriate in the biological context. Since biological processes are not independent of each other, many genes participate in multiple different processes. Hence, nonexclusive biclustering algorithms are required for finding highly overlapping biclusters. In this regard, a novel overlapping biclustering algorithm is presented here to find overlapping biclusters of larger volume with mean squared residue lower than a given threshold. The proposed method consists of two phases. First, a set of highly coherent seeds is generated based on two-way k-medoids algorithm, where mutual information is used as a similarity measure instead of using Euclidean distance. The seeds are then iteratively adjusted (enlarged or degenerated) by adding or removing genes and conditions based on a new quantitative index. In effect, the proposed method provides highly overlapping coherent biclusters with mean squared residue lower than a given threshold. Some quantitative indices are introduced for evaluating the quality of generated biclusters. The quality of biclusters found by the proposed approach is discussed and the results are compared to those reported by existing methods. In general, the proposed approach shows an excellent performance at finding patterns in gene expression data.",,978-1-4244-2962-2,10.1109/ADCOM.2008.4760441,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4760441,,Gene expression;Data analysis;Data engineering;Algorithm design and analysis;Biological processes;Computer science;Educational institutions;Machine intelligence;Information technology;Information analysis,bioinformatics;data analysis;data mining;genetics;pattern clustering,biclustering algorithm;value-coherent overlapping delta-bicluster discovery;gene expression data analysis;gene expression measurement;biological process;mean squared residue;two-way k-medoids algorithm;Euclidean distance;similarity measure;quantitative index,,3,,34,,23-Jan-09,,,IEEE,IEEE Conferences,yes,yes,no,yes,comparison; modified/anomalous metric,Modified/derived/anomalous metrics for better performance,"""In general, Euclidean distance and Pearson�s correlation coefficient are widely used as the distance or similarity measures
for cluster analysis of gene expression data [3]. However, as
these measures depend on the actual values of the training
data, they are very much sensitive to the noise or outlier of
the data set [3], [30]. The Euclidean distance is not effective
to reflect functional similarity such as positive and negative
correlation, interdependency as well as closeness in values.
Also, Pearson�s correlation coefficient is not robust to outliers
and it may assign a high similarity score to a pair of dissimilar
genes [3], [30]. On the other hand, information measures
such as entropy and mutual information depend only on the
probability distribution of a random variable rather than on its
actual values. Hence, the mutual information has been widely
used in gene analysis problem [31], [32], [33]. In two-way clustering framework, the mutual information is used here to
measure the similarity between two objects."" pg.4."
A New Approach to Batch Effect Removal Based on Distribution Matching in Latent Space,H. Li; H. Dogan; J. Cui,"Systems Biology and Biomedical Informatics Laboratory, University of Nebraska-Lincoln,Computer Science and Engineering,Lincoln,NE,USA; Systems Biology and Biomedical Informatics Laboratory, University of Nebraska-Lincoln,Computer Science and Engineering,Lincoln,NE,USA; Systems Biology and Biomedical Informatics Laboratory, University of Nebraska-Lincoln,Computer Science and Engineering,Lincoln,NE,USA",2019 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),06-Feb-20,2019,,,423,430,"Advanced measurement techniques such as genomics are capable of acquiring high-throughput data in high dimensions, enabling new scientific discoveries, and offering unique insights in biomedical research. However, biological measurements can be easily affected by systematic variations especially when those measures are obtained from distinct batches involving different platforms and experimental conditions. Such batch effect is usually larger than biological signal of interest and can cause invalid downstream analysis and false discovery if not properly handled. Here we proposed a new learning approach based on multivariate distribution matching in the latent space for batch effect removal while preserving signals of most interest. This new data-driven approach consists of three key components: an autoencoder trained to encode the data into low-dimension neurons that represent data pattern; a similarity measurement procedure to identify batch-effect associated neurons; and a residual network-based matching framework to transform the affected neurons' distribution from one batch to another where the adjusted neurons will be decoded to reconstruct new datasets with batch effect removed. The effectiveness of the proposed approach has been validated in several ways using public genomic data on Alzheimer disease. This new method provides a highly promising tool for complex batch-effect adjustment and outperforms other commonly used methods.",,978-1-7281-1867-3,10.1109/BIBM47256.2019.8983417,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8983417,batch effect removal;genomic data;machine learning;autoencoder;residue network;distribution matching,,biology computing;data analysis;diseases;genetics;genomics;learning (artificial intelligence);neural nets;neurophysiology;pattern clustering,complex batch-effect adjustment;highly promising tool;public genomic data;affected neurons;residual network-based;batch-effect associated neurons;similarity measurement procedure;data pattern;low-dimension neurons;data-driven approach;multivariate distribution matching;learning approach;false discovery;invalid downstream analysis;biological signal;distinct batches;biological measurements;biomedical research;scientific discoveries;advanced measurement techniques;latent space;batch effect removal,,1,,37,,06-Feb-20,,,IEEE,IEEE Conferences,no,no,,,,,
Non-Negative Matrix Factorization for Semisupervised Heterogeneous Data Coclustering,Y. Chen; L. Wang; M. Dong,"Wayne State University, Detroit; Wayne State University, Detroit; Wayne State University, Detroit",IEEE Transactions on Knowledge and Data Engineering,19-Aug-10,2010,22,10,1459,1474,"Coclustering heterogeneous data has attracted extensive attention recently due to its high impact on various important applications, such us text mining, image retrieval, and bioinformatics. However, data coclustering without any prior knowledge or background information is still a challenging problem. In this paper, we propose a Semisupervised Non-negative Matrix Factorization (SS-NMF) framework for data coclustering. Specifically, our method computes new relational matrices by incorporating user provided constraints through simultaneous distance metric learning and modality selection. Using an iterative algorithm, we then perform trifactorizations of the new matrices to infer the clusters of different data types and their correspondence. Theoretically, we prove the convergence and correctness of SS-NMF coclustering and show the relationship between SS-NMF with other well-known coclustering models. Through extensive experiments conducted on publicly available text, gene expression, and image data sets, we demonstrate the superior performance of SS-NMF for heterogeneous data coclustering.",1558-2191,,10.1109/TKDE.2009.169,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5184838,Non-negative matrix factorization;semisupervised clustering;heterogeneous data coclustering.,Data mining;Text mining;Bioinformatics;Space technology;Information retrieval;Image retrieval;Iterative algorithms;Convergence;Gene expression;Unsupervised learning,iterative methods;learning (artificial intelligence);matrix decomposition;pattern clustering,nonnegative matrix factorization;semisupervised heterogeneous data coclustering;text mining;image retrieval;bioinformatics;relational matrices;user provided constraints;distance metric learning;modality selection;iterative algorithm,,71,,41,,31-Jul-09,,,IEEE,IEEE Journals,no,no,,,,,
Characterization of the Mixed-Phase States Using Self-Similarity Phenomenon for First-Order Magnetocaloric Metamagnets,Y. Jin; M. Ghahremani; S. Gu; V. Provenzano; L. H. Bennett; E. D. Torre; H. ElBidweihy,"$^{1}$Dept. of Electrical and Computer Engineering, George Washington University, Washington, D.C., USA; $^{1}$Dept. of Electrical and Computer Engineering, George Washington University, Washington, D.C., USA; $^{1}$Dept. of Electrical and Computer Engineering, George Washington University, Washington, D.C., USA; $^{2}$ National Institute of Standards and Technology, Gaithersburg, MD, USA; $^{1}$ Dept. of Electrical and Computer Engineering, George Washington University, Washington, D.C., USA; $^{1}$Dept. of Electrical and Computer Engineering, George Washington University, Washington, D.C., USA; $^{1}$Dept. of Electrical and Computer Engineering, George Washington University, Washington, D.C., USA",IEEE Transactions on Magnetics,18-Oct-12,2012,48,11,3992,3994,"The understanding of how magnetocaloric metamagnets transition near the metamagnetic transition region is profoundly important to fundamental research and the application of near-room temperature magnetic refrigeration. Metamagnetic transition is characterized by field-induced transitions between the ferromagnetic (FM) and the paramagnetic (PM) state at temperatures above the Curie temperature. The metamagnetic region has been experimentally shown to exhibit coexistence of FM and PM phases attributed to the materials' intrinsically layered crystallographic structures. An analytical characterization approach is proposed to numerically calculate the fractional compositions of the mixed-state phases. The fractional composition state functions for magnetocaloric metamagnets are formulated by utilizing the self-similarity phenomenon within the material's (∂<i>M</i>/∂<i>T</i>)<sub>H</sub> curves. This self-similarity is demonstrated by the collapse of the (∂<i>M</i>/∂<i>T</i>)<sub>H</sub> curves at different field values onto a single scaled curve with low index of dispersion. To study the effectiveness of this new analytical approach, the fractional compositions functions for Gd<sub>5</sub>Si<sub>2</sub>Ge<sub>2</sub> was evaluated. The calculated Gd<sub>5</sub>Si<sub>2</sub>Ge<sub>2</sub> fractional composition state functions demonstrate considerable characteristic agreements with previous experimental results. Knowledge of the FM and PM cluster compositions near the metamagnetic region impacts the calculation of Maxwell's Relation and provides a new numerical perspective for enhancing the magnetocaloric properties via the methods of nano-engineering or chemical substitution processes.",1941-0069,,10.1109/TMAG.2012.2200883,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6332773,Gd $_{5}$Si $_{2}$Ge $_{2}$;magnetocaloric effect;metamagnetism;metamagnets;mixed-phase;self-similarity,Silicon;Frequency modulation;Magnetic hysteresis;Distance measurement;Compounds;Magnetic resonance imaging,chemical exchanges;crystal structure;Curie temperature;ferromagnetic materials;ferromagnetic-paramagnetic transitions;fractals;gadolinium alloys;germanium alloys;inhomogeneous media;magnetic cooling;magnetic hysteresis;magnetic structure;metal clusters;metamagnetism;nanofabrication;nanomagnetics;nanostructured materials;paramagnetic materials;silicon alloys,mixed-phase states;self-similarity phenomenon;first-order magnetocaloric metamagnets;magnetocaloric metamagnetic transition;near-room temperature magnetic refrigeration;field-induced transitions;ferromagnetic-paramagnetic state;Curie temperature;intrinsically layered crystallographic structures;fractional composition state functions;Maxwell relation;nanoengineering processes;chemical substitution processes;magnetic hysteresis;Gd5Si2Ge2,,,,17,IEEE,18-Oct-12,,,IEEE,IEEE Journals,no,no,,,,,
Enhanced multistatic active sonar signal processing,K. Zhao; J. Liang; J. Karlsson; J. Li,"Department of Electrical and Computer Engineering, University of Florida, Gainesville, USA; Department of Electrical and Computer Engineering, University of Florida, Gainesville, USA; Department of Electrical and Computer Engineering, University of Florida, Gainesville, USA; Department of Electrical and Computer Engineering, University of Florida, Gainesville, USA","2013 IEEE International Conference on Acoustics, Speech and Signal Processing",21-Oct-13,2013,,,3861,3865,"This paper focuses on two signal processing aspects of multistatic active sonar systems, namely enhanced range-Doppler imaging and improved target parameter estimation. The main contributions of this paper are: i) a hybrid dense-sparse method is proposed to generate range-Doppler images with both low sidelobe levels and high accuracy; ii) a generalized K-Means clustering (GKC) method for target association is developed to associate the range measurements from different transmitter-receiver pairs; iii) the extended invariance principle-based weighted least-squares (EXIP-WLS) method is developed for accurate target position and velocity estimation. The effectiveness of the proposed multistatic active sonar system is verified using numerical examples.",2379-190X,978-1-4799-0356-6,10.1109/ICASSP.2013.6638381,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6638381,Multistatic active sonar;generalized KMeans clustering method;extended invariance principle-based weighted least-squares method,Sonar;Receivers;Doppler effect;Vectors;Imaging;Transmitters;Estimation,distance measurement;Doppler effect;least squares approximations;parameter estimation;pattern clustering;sonar imaging,enhanced multistatic active sonar signal processing;enhanced range-Doppler imaging;improved target parameter estimation;hybrid dense-sparse method;range-Doppler image generation;low sidelobe levels;generalized K-Means clustering method;GKC method;target association;range measurements;transmitter-receiver pairs;extended invariance principle-based weighted least-squares method;EXIP-WLS method;target position estimation;target velocity estimation,,4,,12,,21-Oct-13,,,IEEE,IEEE Conferences,no,no,,,,,
